year,deaths
1979,14
1980,67
1981,18
1982,25
1983,35
1984,143
1985,83
1986,134
1987,1399
1988,52
1989,26
1990,36
1991,56
1992,4
1993,105
1994,91
1995,291
1996,222
1997,163
1998,381
1999,243
2000,308
2001,231
2002,489
2003,297
2004,885
2005,58
2006,44
2007,1287
2008,626
2009,97
2010,32
2011,249
2012,15
2013,253
2014,158
2015,27
2016,458
2017,514
